HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2460468.67123,2024-06-07.1660439,bE,1.41,16.957,14.516,0.023,5.671,0.121,g
2460468.67247,2024-06-07.1672868,bE,1.43,16.988,14.567,0.023,5.413,0.118,g
2460468.67372,2024-06-07.1685354,bE,1.46,16.967,14.537,0.023,5.564,0.120,g
2460469.01739,2024-06-07.5121946,bA,2.00,16.953,14.546,0.024,5.517,0.121,g
2460469.01865,2024-06-07.5134541,bA,2.01,16.953,14.536,0.024,5.567,0.121,g
2460469.01993,2024-06-07.5147324,bA,2.01,16.936,14.556,0.024,5.466,0.124,g
2460470.01731,2024-06-08.5120957,bA,2.07,16.931,14.569,0.025,5.401,0.124,g
2460470.01857,2024-06-08.5133587,bA,2.06,16.960,14.566,0.024,5.417,0.120,g
2460470.01983,2024-06-08.5146123,bA,2.07,17.038,14.569,0.022,5.402,0.112,g
2460470.91169,2024-06-09.4064736,bA,2.18,16.877,14.591,0.027,5.293,0.130,g
2460470.91296,2024-06-09.4077284,bA,2.15,16.888,14.554,0.025,5.476,0.128,g
